Company_Name,Current Year,Years_to_Bankrupt,Bankruptcy,Total_Revenue,Gross_Profit,Net_Income,EBITDA,Total_Current_Assets,Total_Assets,Total_Current_Liabilities,Cash_from_Ops.,Net_Debt/EBITDA,Profit_Margin,Net_Debt,Net_Workng_Capital,Current_Ratio,Debt_to_Cash_Flow_From_Ops,Market_Capitalization,Market_Capitalization
Powerwave Technologies Inc.,2005.00,8.00,1.00,784.30,212.90,50.60,103.50,599.90,1130.20,215.20,12.10,0.94,0.06,97.50,384.70,2.79,8.06,822.00,1620.60
Powerwave Technologies Inc.,2005.00,8.00,1.00,784.30,212.90,50.60,103.50,599.90,1130.20,215.20,12.10,0.94,0.06,97.50,384.70,2.79,8.06,822.00,1620.60
Adtalem Global Education Inc. (NYSE:ATGE),2005.00,16.00,0.00,803.70,365.00,26.80,104.30,301.30,956.50,264.50,76.40,0.16,0.03,16.27,36.80,1.14,0.21,1248.30,1622.30
CARBO Ceramics Inc.,2005.00,15.00,1.00,252.70,98.70,46.60,84.00,148.30,355.80,36.30,52.70,0.00,0.18,0.00,112.00,4.09,0.00,1144.70,1622.50
CARBO Ceramics Inc.,2005.00,16.00,0.00,252.70,98.70,46.60,84.00,148.30,355.80,36.30,52.70,0.00,0.18,0.00,112.00,4.09,0.00,1144.70,1622.50
Pembina Pipeline Corporation (TSX:PPL),2005.00,16.00,0.00,249.20,161.10,60.40,142.00,26.60,1337.60,44.40,96.40,3.80,0.24,539.60,-17.80,0.60,5.60,1139.90,1625.80
Pan American Silver Corp. (TSX:PAAS),2005.00,16.00,0.00,122.40,34.80,-28.60,24.10,102.10,362.30,27.40,10.80,0.00,-0.23,0.00,74.70,3.73,0.00,1010.80,1626.30
AGCO Corporation (NYSE:AGCO),2005.00,16.00,0.00,5449.70,933.60,31.60,380.60,2086.20,3861.20,1260.40,246.30,1.65,0.01,627.99,825.80,1.66,2.55,1853.80,1630.10
"Quanta Services, Inc. (NYSE:PWR)",2005.00,16.00,0.00,1842.30,254.70,29.60,123.30,831.00,1554.80,258.10,82.40,1.20,0.02,147.96,572.90,3.22,1.80,877.20,1635.10
"Selective Insurance Group, Inc. (NasdaqGS:SIGI)",2005.00,16.00,0.00,1671.00,321.70,148.50,241.70,974.40,4375.60,878.70,406.80,1.39,0.09,335.96,95.70,1.11,0.83,1198.90,1636.50
"ARO Liquidation, Inc.",2005.00,11.00,1.00,1204.30,435.70,84.00,157.80,339.30,504.00,126.40,144.40,0.00,0.07,0.00,212.90,2.68,0.00,1547.00,1643.20
"ARO Liquidation, Inc.",2005.00,16.00,0.00,1204.30,435.70,84.00,157.80,339.30,504.00,126.40,144.40,0.00,0.07,0.00,212.90,2.68,0.00,1547.00,1643.20
"Borders Group, Inc.",2005.00,6.00,1.00,3717.10,1066.70,101.00,284.90,1637.80,2572.20,1311.10,186.00,0.46,0.03,130.77,326.70,1.25,0.70,1970.90,1643.90
"Borders Group, Inc.",2005.00,6.00,1.00,3717.10,1066.70,101.00,284.90,1637.80,2572.20,1311.10,186.00,0.46,0.03,130.77,326.70,1.25,0.70,1970.90,1643.90
"FLIR Systems, Inc. (NasdaqGS:FLIR)",2005.00,16.00,0.00,508.60,276.70,90.80,141.50,409.00,689.40,92.70,73.10,0.70,0.18,99.19,316.30,4.41,1.36,2084.00,1644.20
THQ Inc.,2005.00,7.00,1.00,830.40,524.70,49.50,62.50,645.60,882.80,184.00,64.30,0.00,0.06,0.00,461.60,3.51,0.00,865.40,1653.90
THQ Inc.,2005.00,7.00,1.00,830.40,524.70,49.50,62.50,645.60,882.80,184.00,64.30,0.00,0.06,0.00,461.60,3.51,0.00,865.40,1653.90
Meritage Homes Corporation (NYSE:MTH),2005.00,16.00,0.00,3001.10,707.00,255.70,439.10,1697.50,1971.40,430.10,72.20,1.20,0.09,526.92,1267.40,3.95,7.30,1662.80,1654.90
"Post Properties, Inc.",2005.00,16.00,0.00,274.00,149.30,141.90,126.30,53.90,1981.50,78.20,86.80,7.72,0.52,975.04,-24.30,0.69,11.23,1265.70,1658.10
"Plantronics, Inc. (NYSE:PLT)",2005.00,16.00,0.00,691.50,315.00,86.50,132.70,320.70,581.60,144.00,92.40,0.00,0.13,0.00,176.70,2.23,0.00,1799.90,1658.40
"Ruby Tuesday, Inc.",2005.00,16.00,0.00,1187.80,508.60,92.60,214.10,59.30,1122.20,98.70,188.60,1.64,0.08,351.12,-39.40,0.60,1.86,1631.50,1661.60
"Domino's Pizza, Inc. (NYSE:DPZ)",2005.00,16.00,0.00,1511.60,385.30,108.30,226.50,221.30,461.10,217.40,141.20,2.96,0.07,670.44,3.90,1.02,4.75,1145.20,1662.40
Just Energy Group Inc. (TSX:JE),2005.00,16.00,0.00,980.20,157.40,52.30,82.80,192.70,333.70,191.70,44.90,0.24,0.05,19.87,1.00,1.01,0.44,1482.10,1669.20
Payless Inc.,2005.00,14.00,1.00,2665.70,891.00,66.40,215.50,854.50,1314.50,338.50,226.90,0.00,0.02,0.00,516.00,2.52,0.00,804.20,1671.20
Payless Inc.,2005.00,16.00,0.00,2665.70,891.00,66.40,215.50,854.50,1314.50,338.50,226.90,0.00,0.02,0.00,516.00,2.52,0.00,804.20,1671.20
Sonic Corp.,2005.00,16.00,0.00,640.60,335.70,71.80,179.40,35.60,585.30,65.90,132.00,0.77,0.11,137.60,-30.30,0.54,1.04,1915.80,1672.60
"Flowers Foods, Inc. (NYSE:FLO)",2005.00,16.00,0.00,1715.90,851.10,61.20,149.00,237.60,851.10,174.30,114.00,0.46,0.04,68.09,63.30,1.36,0.60,1319.20,1672.70
Healthcare Realty Trust Incorporated (NYSE:HR),2005.00,16.00,0.00,206.60,136.10,52.70,131.30,88.40,1747.70,133.20,101.60,5.88,0.26,772.04,-44.80,0.66,7.60,1739.70,1673.40
Jarden Corp.,2005.00,16.00,0.00,3189.10,811.70,60.70,297.60,1464.40,3524.60,714.50,240.90,4.38,0.02,1303.49,749.90,2.05,5.41,1296.40,1674.20
Vermilion Energy Inc. (TSX:VET),2005.00,16.00,0.00,379.10,308.80,148.30,285.40,119.00,953.80,97.00,210.30,0.69,0.39,195.78,22.00,1.23,0.93,1022.00,1674.70
"Lee Enterprises, Incorporated (NYSE:LEE)",2005.00,6.00,1.00,927.10,469.20,72.60,249.10,182.70,3430.90,161.70,168.40,6.72,0.08,1673.95,21.00,1.13,9.94,2017.90,1675.10
"Lee Enterprises, Incorporated (NYSE:LEE)",2005.00,6.00,1.00,927.10,469.20,72.60,249.10,182.70,3430.90,161.70,168.40,6.72,0.08,1673.95,21.00,1.13,9.94,2017.90,1675.10
"Acuity Brands, Inc. (NYSE:AYI)",2005.00,16.00,0.00,2213.50,860.10,61.00,185.40,717.90,1429.90,371.80,167.50,1.44,0.03,266.98,346.10,1.93,1.59,1190.10,1677.20
"CoreCivic, Inc. (NYSE:CXW)",2005.00,16.00,0.00,1185.90,292.60,50.10,236.10,301.10,2086.30,156.10,153.40,3.86,0.04,911.35,145.00,1.93,5.94,1449.10,1680.00
Medicis Pharmaceutical Corporation,2005.00,16.00,0.00,361.10,307.10,95.60,122.30,833.30,1146.00,140.80,232.50,0.00,0.26,0.00,692.50,5.92,0.00,1974.80,1681.60
"Fossil Group, Inc. (NasdaqGS:FOSL)",2005.00,16.00,0.00,1043.10,535.10,75.70,135.50,507.20,745.10,180.70,34.50,0.00,0.07,0.00,326.50,2.81,0.00,1984.20,1681.70
"HealthMarkets, Inc.",2005.00,16.00,0.00,2121.20,809.70,203.50,357.70,429.20,2371.50,213.20,185.40,0.42,0.10,150.23,216.00,2.01,0.81,1413.90,1685.00
Granite Construction Incorporated (NYSE:GVA),2005.00,16.00,0.00,2641.40,319.40,83.20,201.80,976.90,1472.20,609.10,146.50,0.00,0.03,0.00,367.80,1.60,0.00,1036.20,1688.00
Canfor Corporation (TSX:CFP),2005.00,16.00,0.00,3249.10,1020.40,82.40,256.80,1108.40,3285.90,459.60,172.20,1.13,0.03,290.18,648.80,2.41,1.69,1798.20,1688.50
"Archrock, Inc. (NYSE:AROC)",2005.00,16.00,0.00,1304.30,464.70,-38.00,287.80,704.40,2863.00,352.70,122.50,4.97,-0.03,1430.37,351.70,2.00,11.68,1231.10,1689.50
"PNM Resources, Inc. (NYSE:PNM)",2005.00,16.00,0.00,1566.10,447.80,65.90,281.80,596.30,5124.70,723.50,210.10,7.13,0.04,2009.23,-127.20,0.82,9.56,1524.90,1689.50
"SkyWest, Inc. (NasdaqGS:SKYW)",2005.00,16.00,0.00,1964.00,426.30,112.30,335.70,693.60,3320.60,615.90,207.50,4.60,0.06,1544.22,77.70,1.13,7.44,989.20,1692.50
TIBCO Software Inc.,2005.00,16.00,0.00,439.40,315.20,72.60,91.80,618.20,1122.40,159.50,82.80,0.00,0.17,0.00,458.70,3.88,0.00,2331.40,1695.30
Maple Leaf Foods Inc. (TSX:MFI),2005.00,16.00,0.00,5258.40,5258.40,80.90,339.30,648.40,2736.60,696.70,227.10,3.06,0.02,1038.26,-48.30,0.93,4.57,1444.50,1698.20
"Boardriders, Inc.",2005.00,10.00,1.00,1979.20,904.20,111.50,244.60,1137.80,2150.20,668.40,57.10,3.23,0.06,790.06,469.40,1.70,13.84,1754.60,1701.70
"Boardriders, Inc.",2005.00,16.00,0.00,1979.20,904.20,111.50,244.60,1137.80,2150.20,668.40,57.10,3.23,0.06,790.06,469.40,1.70,13.84,1754.60,1701.70
"Highwoods Properties, Inc. (NYSE:HIW)",2005.00,16.00,0.00,397.20,258.70,62.50,230.00,124.50,2909.00,126.20,154.10,6.54,0.16,1504.20,-1.70,0.99,9.76,1316.00,1704.10
"Nutrisystem, Inc.",2005.00,16.00,0.00,210.20,101.80,21.00,35.10,93.50,107.20,28.00,17.60,0.00,0.10,0.00,65.50,3.34,0.00,108.70,1708.40
"Buckeye Partners, L.P.",2005.00,16.00,0.00,408.40,402.00,100.00,177.90,98.40,1816.90,62.20,142.50,4.91,0.24,873.49,36.20,1.58,6.13,1537.40,1710.40
"Werner Enterprises, Inc. (NasdaqGS:WERN)",2005.00,16.00,0.00,1971.80,526.80,98.50,316.00,367.60,1385.80,217.90,172.50,0.07,0.05,23.38,149.70,1.69,0.14,1688.50,1711.50
United Surgical Partners International Inc.,2005.00,16.00,0.00,456.10,253.50,47.30,140.80,213.10,1028.80,122.20,107.90,1.11,0.10,156.29,90.90,1.74,1.45,1122.20,1713.70
"Heartland Express, Inc. (NasdaqGS:HTLD)",2005.00,16.00,0.00,523.80,177.90,71.90,134.30,363.50,573.50,92.20,104.90,0.00,0.14,0.00,271.30,3.94,0.00,1589.00,1715.00
"AmeriGas Partners, L.P.",2005.00,16.00,0.00,2037.30,760.60,67.90,251.60,456.80,1702.80,548.00,179.60,3.50,0.03,880.60,-91.20,0.83,4.90,1631.00,1715.80
CACI International Inc (NYSE:CACI),2005.00,16.00,0.00,1687.40,607.70,83.60,176.00,494.40,1236.40,182.10,152.50,1.18,0.05,207.68,312.30,2.71,1.36,1524.20,1720.00
AMERCO (NasdaqGS:UHAL),2005.00,16.00,0.00,2074.90,568.10,89.80,390.30,1178.30,3366.20,228.40,250.30,1.38,0.04,538.61,949.90,5.16,2.15,967.80,1724.00
"VeriFone Systems, Inc.",2005.00,16.00,0.00,508.70,213.80,41.20,93.40,241.90,344.00,112.80,29.60,1.01,0.08,94.33,129.10,2.14,3.19,,1726.90
"SRA Companies, Inc.",2005.00,16.00,0.00,1053.10,266.20,60.90,109.80,446.10,684.90,193.50,44.80,0.00,0.06,0.00,252.60,2.31,0.00,1476.00,1736.40
Regis Corporation (NYSE:RGS),2005.00,16.00,0.00,2341.60,568.40,62.40,285.30,435.60,1840.00,315.30,229.70,1.55,0.03,442.22,120.30,1.38,1.93,1782.00,1736.40
PTC Inc. (NasdaqGS:PTC),2005.00,16.00,0.00,731.60,508.70,61.40,87.80,395.40,772.10,315.20,80.00,0.00,0.08,0.00,80.20,1.25,0.00,1541.40,1736.50
Knight-Swift Transportation Holdings Inc. (NYSE:KNX),2005.00,16.00,0.00,566.80,199.90,61.70,151.50,120.40,483.80,54.30,107.80,0.00,0.11,0.00,66.10,2.22,0.00,1390.30,1737.50
"Microsemi Storage Solutions, Inc.",2005.00,16.00,0.00,291.40,210.40,28.00,47.40,687.00,732.90,121.50,51.00,0.00,0.10,0.00,565.50,5.65,0.00,1846.00,1755.90
"Legacy LifePoint Health, LLC",2005.00,16.00,0.00,1625.80,621.10,72.90,355.40,433.30,3224.60,230.10,301.40,4.18,0.04,1485.57,203.20,1.88,4.93,1463.50,1761.30
"Neustar, Inc.",2005.00,16.00,0.00,242.50,177.60,55.40,104.40,183.40,283.20,69.80,61.20,0.00,0.23,0.00,113.60,2.63,0.00,,1763.20
"Bio-Rad Laboratories, Inc. (NYSE:BIO)",2005.00,16.00,0.00,1181.00,646.50,81.60,176.30,1008.20,1426.60,319.20,108.30,0.09,0.07,16.04,689.00,3.16,0.15,1506.00,1765.40
Brandywine Realty Trust (NYSE:BDN),2005.00,16.00,0.00,361.50,219.80,42.80,197.10,93.70,2805.70,81.50,125.10,7.68,0.12,1513.73,12.20,1.15,12.10,1483.60,1766.80
Superior Plus Corp. (TSX:SPB),2005.00,16.00,0.00,1766.60,535.00,89.60,206.10,471.30,2036.40,263.60,117.50,3.91,0.05,805.85,207.70,1.79,6.86,1854.80,1767.30
CLARCOR Inc.,2005.00,16.00,0.00,874.00,265.70,76.40,139.60,324.90,675.30,121.50,89.30,0.00,0.09,0.00,203.40,2.67,0.00,1392.40,1767.70
"MICROS Systems, Inc.",2005.00,16.00,0.00,641.40,325.80,58.80,96.10,378.90,557.20,164.90,103.00,0.00,0.09,0.00,214.00,2.30,0.00,1318.70,1768.60
Anixter International Inc.,2005.00,16.00,0.00,3847.40,925.10,90.00,210.90,1536.70,2012.10,604.10,0.50,2.87,0.02,605.28,932.60,2.54,1210.57,1245.80,1771.40
Pembina NGL Corporation,2005.00,16.00,0.00,1217.80,390.20,83.80,291.20,364.00,2395.60,295.90,220.80,2.51,0.07,730.91,68.10,1.23,3.31,1239.40,1779.70
"Evergy, Inc. (NYSE:EVRG)",2005.00,16.00,0.00,1583.30,627.70,135.60,475.00,475.60,5210.10,550.10,353.90,3.42,0.09,1624.50,-74.50,0.86,4.59,2001.00,1788.40
AGF Management Limited (TSX:AGF.B),2005.00,16.00,0.00,509.40,385.30,78.70,138.90,470.60,2321.90,501.30,200.80,0.00,0.15,0.00,-30.70,0.94,0.00,1270.70,1793.60
"Penske Automotive Group, Inc. (NYSE:PAG)",2005.00,16.00,0.00,9552.90,1453.00,119.00,317.20,1912.30,3594.20,1664.90,155.40,5.28,0.01,1674.82,247.40,1.15,10.78,1313.20,1794.50
Briggs & Stratton Corporation,2005.00,15.00,1.00,2798.20,526.60,157.50,299.70,1275.60,2145.30,528.70,154.60,1.94,0.06,581.42,746.90,2.41,3.76,1999.00,1799.80
Briggs & Stratton Corporation,2005.00,16.00,0.00,2798.20,526.60,157.50,299.70,1275.60,2145.30,528.70,154.60,1.94,0.06,581.42,746.90,2.41,3.76,1999.00,1799.80
"Equity One, Inc.",2005.00,16.00,0.00,201.80,150.20,92.70,129.50,55.50,2052.00,40.20,117.20,7.89,0.46,1021.76,15.30,1.38,8.72,1491.80,1801.20
"Tailored Brands, Inc.",2005.00,15.00,1.00,1724.90,697.10,103.90,227.20,729.60,1123.30,238.10,154.60,0.00,0.06,0.00,491.50,3.06,0.00,1202.80,1805.50
"Tailored Brands, Inc.",2005.00,16.00,0.00,1724.90,697.10,103.90,227.20,729.60,1123.30,238.10,154.60,0.00,0.06,0.00,491.50,3.06,0.00,1202.80,1805.50
Ottawa Acquisition LLC,2005.00,16.00,0.00,3357.80,409.60,136.30,341.40,1345.70,4391.20,1622.90,206.20,2.91,0.04,993.47,-277.20,0.83,4.82,1627.60,1806.80
"Worthington Industries, Inc. (NYSE:WOR)",2005.00,16.00,0.00,2958.00,393.50,141.40,246.40,999.10,1905.90,580.70,207.50,0.75,0.05,183.81,418.40,1.72,0.89,1798.90,1821.80
"Polycom, Inc.",2005.00,16.00,0.00,580.70,361.10,62.70,112.00,437.70,1071.40,191.50,117.40,0.00,0.11,0.00,246.20,2.29,0.00,1693.60,1822.90
"bebe stores, inc. (OTCPK:BEBE)",2005.00,16.00,0.00,547.80,271.90,69.20,119.50,380.00,469.60,65.40,110.90,0.00,0.13,0.00,314.60,5.81,0.00,1527.20,1840.50
"DICK'S Sporting Goods, Inc. (NYSE:DKS)",2005.00,16.00,0.00,2625.00,731.30,73.00,214.10,614.00,1187.80,471.30,168.50,0.68,0.03,144.73,142.70,1.30,0.86,1648.50,1844.20
Seaboard Corporation (AMEX:SEB),2005.00,16.00,0.00,2688.90,459.30,266.70,385.20,1047.20,1816.30,419.40,331.10,0.00,0.10,0.00,627.80,2.50,0.00,1317.70,1844.80
"Under Armour, Inc. (NYSE:UAA)",2005.00,16.00,0.00,281.10,135.90,19.70,42.40,181.80,203.70,47.70,15.80,0.00,0.07,0.00,134.10,3.81,0.00,,1854.60
"Piedmont Natural Gas Company, Inc.",2005.00,16.00,0.00,2001.90,295.90,102.00,272.10,752.00,2885.80,751.60,82.10,3.60,0.05,979.56,0.40,1.00,11.93,1780.00,1857.90
SEACOR Holdings Inc. (NYSE:CKH),2005.00,16.00,0.00,972.00,382.10,170.70,276.90,839.10,2885.10,247.90,237.60,1.77,0.18,490.11,591.20,3.38,2.06,1024.30,1858.10
"Simpson Manufacturing Co., Inc. (NYSE:SSD)",2005.00,16.00,0.00,846.30,330.80,98.40,174.10,434.50,659.70,92.00,130.60,0.00,0.12,0.00,342.50,4.72,0.00,1711.70,1863.50
SBA Communications Corporation (NasdaqGS:SBAC),2005.00,16.00,0.00,260.00,120.00,-94.70,91.90,112.40,952.50,52.10,49.80,8.04,-0.36,738.88,60.30,2.16,14.84,549.30,1864.20
Emera Incorporated (TSX:EMA),2005.00,16.00,0.00,1002.10,401.90,104.00,364.20,335.90,3430.50,434.50,141.00,4.36,0.10,1587.91,-98.60,0.77,11.26,1719.50,1866.90
"Waddell & Reed Financial, Inc. (NYSE:WDR)",2005.00,16.00,0.00,622.10,225.30,60.10,155.90,299.70,632.30,156.80,100.80,0.00,0.10,0.00,142.90,1.91,0.00,1810.80,1867.10
"Jack Henry & Associates, Inc. (NasdaqGS:JKHY)",2005.00,16.00,0.00,560.20,239.20,82.20,170.90,179.70,765.90,160.40,121.30,0.00,0.15,0.00,19.30,1.12,0.00,1880.60,1867.90
"Lincoln Electric Holdings, Inc. (NasdaqGS:LECO)",2005.00,16.00,0.00,1601.20,436.90,122.30,195.60,676.60,1161.20,293.60,117.00,0.30,0.08,58.09,383.00,2.30,0.50,1330.90,1871.30
Varian Semiconductor Equipment Associates Inc.,2005.00,16.00,0.00,613.00,256.10,66.30,82.60,789.10,862.10,137.60,36.30,0.00,0.11,0.00,651.50,5.73,0.00,1357.70,1873.10
Coldwater Creek Inc.,2005.00,9.00,1.00,779.70,352.80,41.60,89.70,268.30,458.40,136.30,103.30,0.00,0.05,0.00,132.00,1.97,0.00,1102.40,1874.30
Coldwater Creek Inc.,2005.00,16.00,0.00,779.70,352.80,41.60,89.70,268.30,458.40,136.30,103.30,0.00,0.05,0.00,132.00,1.97,0.00,1102.40,1874.30
Rite Aid Corporation (NYSE:RAD),2005.00,16.00,0.00,16840.50,4950.70,255.20,666.70,2962.50,5836.30,1774.30,331.30,4.46,0.02,2973.48,1188.20,1.67,8.98,1842.90,1886.30
"Guess?, Inc. (NYSE:GES)",2005.00,16.00,0.00,936.10,380.90,58.80,136.40,408.00,633.40,217.20,149.30,0.00,0.06,0.00,190.80,1.88,0.00,627.20,1888.40
Conversant LLC,2005.00,16.00,0.00,304.00,215.20,40.60,83.60,326.70,720.90,66.90,60.70,0.00,0.13,0.00,259.80,4.88,0.00,1073.20,1888.50
H&R Real Estate Investment Trust (TSX:HR.UN),2005.00,16.00,0.00,411.80,263.00,79.30,268.90,93.00,3298.20,104.90,94.70,7.85,0.19,2110.87,-11.90,0.89,22.29,1361.70,1893.30
"Taubman Centers, Inc.",2005.00,16.00,0.00,521.90,386.40,71.70,301.00,207.70,2797.60,352.30,184.60,6.40,0.14,1926.40,-144.60,0.59,10.44,1312.70,1907.30
Atmel Corporation,2005.00,16.00,0.00,1561.10,395.80,-33.40,227.60,1000.50,1933.90,623.80,200.10,0.18,-0.02,39.83,376.70,1.60,0.20,1460.70,1908.80
The Toro Company (NYSE:TTC),2005.00,16.00,0.00,1802.10,625.60,117.20,231.90,716.90,980.50,403.80,175.50,0.89,0.07,207.09,313.10,1.78,1.18,1938.00,1915.20
Encompass Health Corporation (NYSE:EHC),2005.00,16.00,0.00,1756.40,830.20,-446.00,231.60,874.30,3592.20,1109.80,-26.70,13.80,-0.25,3196.08,-235.50,0.79,-119.70,2319.10,1918.60
"Boardwalk Pipeline Partners, LP",2005.00,16.00,0.00,560.50,385.80,100.90,270.10,206.30,2465.50,202.30,218.70,3.99,0.18,1077.70,4.00,1.02,4.93,,1919.60
ON Semiconductor Corporation (NasdaqGS:ON),2005.00,16.00,0.00,1260.60,418.50,100.60,269.90,600.30,1148.50,398.30,193.10,3.09,0.08,833.99,202.00,1.51,4.32,930.60,1927.30
Hexcel Corporation (NYSE:HXL),2005.00,16.00,0.00,957.60,224.20,141.30,141.10,370.30,880.60,195.80,75.60,2.83,0.15,399.31,174.50,1.89,5.28,789.50,1927.70
FactSet Research Systems Inc. (NYSE:FDS),2005.00,16.00,0.00,328.20,230.40,74.60,130.00,133.70,359.50,55.80,94.10,0.00,0.23,0.00,77.90,2.40,0.00,1703.90,1930.20
Monster Beverage Corporation (NasdaqGS:MNST),2005.00,16.00,0.00,348.90,182.50,62.80,104.50,140.30,163.90,33.00,54.60,0.00,0.18,0.00,107.30,4.25,0.00,412.70,1946.90
Realty Income Corporation (NYSE:O),2005.00,16.00,0.00,195.40,191.60,99.10,130.30,77.20,1921.00,30.50,109.60,6.34,0.51,826.10,46.70,2.53,7.54,1848.50,1949.20
"Watsco, Inc. (NYSE:WSO)",2005.00,16.00,0.00,1658.20,418.50,70.00,123.40,494.00,678.70,179.30,35.80,0.18,0.04,22.58,314.70,2.76,0.63,928.10,1950.30
Columbia Sportswear Company (NasdaqGS:COLM),2005.00,16.00,0.00,1155.80,503.80,130.70,209.50,763.10,967.60,209.20,135.20,0.00,0.11,0.00,553.90,3.65,0.00,2191.50,1954.90
Brady Corporation (NYSE:BRC),2005.00,16.00,0.00,883.40,463.90,92.50,163.30,315.90,963.80,140.10,96.20,1.22,0.10,199.23,175.80,2.25,2.07,1391.50,1955.90
Kilroy Realty Corporation (NYSE:KRC),2005.00,16.00,0.00,225.70,172.20,39.40,52.60,81.80,1674.50,146.90,116.00,15.90,0.17,836.34,-65.10,0.56,7.21,1115.70,1958.10
"Carter's, Inc. (NYSE:CRI)",2005.00,16.00,0.00,1121.40,411.80,47.20,165.50,399.00,1116.70,156.60,137.30,2.09,0.04,345.90,242.40,2.55,2.52,1039.10,1960.90
NFP Corp.,2005.00,16.00,0.00,891.40,175.20,56.20,129.40,292.80,1046.60,265.10,87.20,0.00,0.06,0.00,27.70,1.10,0.00,1332.60,1967.30
"AptarGroup, Inc. (NYSE:ATR)",2005.00,16.00,0.00,1380.00,456.10,100.00,252.70,605.30,1357.30,320.80,194.10,0.51,0.07,128.88,284.50,1.89,0.66,1733.70,1972.90
Microsemi Corporation,2005.00,16.00,0.00,309.80,153.10,37.70,81.20,243.90,323.50,37.50,51.60,0.00,0.12,0.00,206.40,6.50,0.00,942.60,1973.90
ATCO Ltd. (TSX:ACO.X),2005.00,16.00,0.00,2453.30,1204.80,127.80,882.50,1272.10,6403.10,474.30,706.20,2.35,0.05,2073.88,797.80,2.68,2.94,1410.40,1980.70
"Alexandria Real Estate Equities, Inc. (NYSE:ARE)",2005.00,16.00,0.00,231.60,180.30,63.40,152.80,84.30,2362.50,105.90,120.70,9.18,0.27,1402.70,-21.60,0.80,11.62,1300.30,1984.60
"Cree, Inc. (NasdaqGS:CREE)",2005.00,16.00,0.00,402.50,211.40,81.10,197.10,340.00,830.10,38.70,170.60,0.00,0.20,0.00,301.30,8.79,0.00,1775.20,1988.70
"First Industrial Realty Trust, Inc. (NYSE:FR)",2005.00,16.00,0.00,292.80,182.10,87.10,155.70,201.40,3226.20,425.10,49.40,11.60,0.30,1806.12,-223.70,0.47,36.56,1671.20,1995.90
"Steel Dynamics, Inc. (NasdaqGS:STLD)",2005.00,16.00,0.00,2184.90,485.10,221.80,485.00,725.70,1757.70,207.20,310.80,0.77,0.10,374.91,518.50,3.50,1.21,1885.50,2000.80
"Oil States International, Inc. (NYSE:OIS)",2005.00,16.00,0.00,1531.60,325.40,121.80,241.10,663.70,1342.90,262.70,32.70,1.62,0.08,390.58,401.00,2.53,11.94,944.10,2006.40
Tractor Supply Company (NasdaqGS:TSCO),2005.00,16.00,0.00,2068.00,636.60,85.70,170.50,531.40,814.80,290.70,104.50,0.00,0.04,0.00,240.70,1.83,0.00,1370.80,2009.00
GATX Corporation (NYSE:GATX),2005.00,16.00,0.00,1029.40,547.00,-13.90,416.00,602.30,5244.40,352.90,294.40,6.65,-0.01,2766.40,249.40,1.71,9.40,1472.40,2009.50
Ingredion Incorporated (NYSE:INGR),2005.00,16.00,0.00,2360.00,332.00,90.00,286.00,685.00,2389.00,424.00,245.00,1.44,0.04,411.84,261.00,1.62,1.68,2184.40,2011.10
"The Manitowoc Company, Inc. (NYSE:MTW)",2005.00,16.00,0.00,2254.10,432.10,65.80,210.20,953.40,1961.80,690.30,106.70,1.25,0.03,262.75,263.10,1.38,2.46,1074.60,2011.80
"LiveRamp Holdings, Inc. (NYSE:RAMP)",2005.00,16.00,0.00,1310.80,340.80,55.90,350.40,343.00,1550.30,383.80,269.40,1.45,0.04,508.08,-40.80,0.89,1.89,1991.50,2014.50
OfficeMax Incorporated,2005.00,16.00,0.00,9157.70,2197.30,-73.80,212.00,1942.00,6272.10,1588.30,-56.90,8.93,-0.01,1893.16,353.70,1.22,-33.27,2598.10,2022.70
Welltower Inc. (NYSE:WELL),2005.00,16.00,0.00,264.60,263.40,84.30,248.50,295.00,2972.20,40.60,194.40,5.89,0.32,1463.67,254.40,7.27,7.53,1773.00,2031.70
Albemarle Corporation (NYSE:ALB),2005.00,16.00,0.00,2107.50,423.40,114.90,279.40,873.70,2555.60,421.90,168.90,2.77,0.05,773.94,451.80,2.07,4.58,1611.50,2040.60
Westlake Chemical Corporation (NYSE:WLK),2005.00,16.00,0.00,2441.10,443.60,226.80,447.70,902.90,1827.20,305.80,318.40,0.07,0.09,29.10,597.10,2.95,0.09,2037.70,2044.40
"Dillard's, Inc. (NYSE:DDS)",2005.00,16.00,0.00,7694.60,2650.90,121.50,562.00,2150.50,5516.90,1147.40,369.10,2.13,0.02,1197.06,1003.10,1.87,3.24,2155.00,2045.40
"Cracker Barrel Old Country Store, Inc. (NasdaqGS:CBRL)",2005.00,16.00,0.00,2409.90,1632.30,120.70,246.70,188.20,1565.60,257.50,219.10,0.76,0.05,188.23,-69.30,0.73,0.86,1980.00,2052.60
Jones Lang LaSalle Incorporated (NYSE:JLL),2005.00,16.00,0.00,1390.60,487.90,103.70,167.00,531.10,1144.80,522.60,120.60,0.10,0.07,16.03,8.50,1.02,0.13,1173.80,2062.80
JetBlue Airways Corporation (NasdaqGS:JBLU),2005.00,16.00,0.00,1701.00,535.00,-20.00,171.00,635.00,3892.00,676.00,170.00,10.80,-0.01,1846.80,-41.00,0.94,10.86,2050.30,2063.60
"ONEOK Partners, L.P.",2005.00,16.00,0.00,703.90,493.90,136.10,343.10,138.40,2527.80,342.00,267.40,3.82,0.19,1310.64,-203.60,0.40,4.90,2310.60,2067.00
